Animal ID,,Clutch.ID,Tank.ID,Date.eggs.hatched,Year,Stocking.density,Date.stocked,Date.metamorphosed,Days.to.metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments
Rcap-,1093,Rcap2,2,2/25/11,2011,100,3/11/11,6/11/11,,2.45,2300,tail nub
Rcap-,1105,Rcap2,2,2/25/11,2011,100,3/11/11,6/12/11,,2.99,2300,small tail
Rcap-,1106,Rcap2,2,2/25/11,2011,100,3/11/11,6/12/11,,4.12,2300,small tail
Rcap-,1107,Rcap2,2,2/25/11,2011,100,3/11/11,6/12/11,,3.01,2300,tail nub
Rcap-,1157,Rcap2,2,2/25/11,2011,100,3/11/11,6/14/11,,2.58,2300,
Rcap-,1158,Rcap2,2,2/25/11,2011,100,3/11/11,6/14/11,,2.8,2300,
Rcap-,1159,Rcap2,2,2/25/11,2011,100,3/11/11,6/14/11,,3.44,2300,
Rcap-,1160,Rcap2,2,2/25/11,2011,100,3/11/11,6/14/11,,3.43,2300,
Rcap-,1177,Rcap2,2,2/25/11,2011,100,3/11/11,6/15/11,,2.89,2300,small tail
Rcap-,1178,Rcap2,2,2/25/11,2011,100,3/11/11,6/15/11,,3.07,2300,
Rcap-,1179,Rcap2,2,2/25/11,2011,100,3/11/11,6/15/11,,3.67,2300,
Rcap-,1180,Rcap2,2,2/25/11,2011,100,3/11/11,6/15/11,,3.32,2300,
Rcap-,1192,Rcap2,2,2/25/11,2011,100,3/11/11,6/16/11,,3.5,2300,tail nub
Rcap-,1206,Rcap2,2,2/25/11,2011,100,3/11/11,6/17/11,,3.44,2300,
Rcap-,1223,Rcap2,2,2/25/11,2011,100,3/11/11,6/18/11,,3.07,2300,
Rcap-,1231,Rcap2,2,2/25/11,2011,100,3/11/11,6/19/11,,3.09,2300,
Rcap-,1232,Rcap2,2,2/25/11,2011,100,3/11/11,6/19/11,,3.75,2300,
Rcap-,1233,Rcap2,2,2/25/11,2011,100,3/11/11,6/19/11,,3.51,2300,
Rcap-,1248,Rcap2,2,2/25/11,2011,100,3/11/11,6/21/11,,3.22,na,"found dead 6/23/2011, SCWDS"
Rcap-,1249,Rcap2,2,2/25/11,2011,100,3/11/11,6/21/11,,3.21,2300,
Rcap-,1250,Rcap2,2,2/25/11,2011,100,3/11/11,6/21/11,,3.17,2300,tail nub
Rcap-,1291,Rcap2,2,2/25/11,2011,100,3/11/11,6/24/11,,4.22,2300,
Rcap-,1292,Rcap2,2,2/25/11,2011,100,3/11/11,6/24/11,,3.87,2300,tail nub
Rcap-,1297,Rcap2,2,2/25/11,2011,100,3/11/11,6/27/11,,4.21,na,dead in tank; preserved in EtOH
Rcap-,1298,Rcap2,2,2/25/11,2011,100,3/11/11,6/27/11,,4.08,2300,
Rcap-,1325,Rcap2,2,2/25/11,2011,100,3/11/11,6/29/11,,4.1,2300,
Rcap-,1326,Rcap2,2,2/25/11,2011,100,3/11/11,6/29/11,,3.57,2300,
Rcap-,1335,Rcap2,2,2/25/11,2011,100,3/11/11,7/1/11,,4.7,2300,
Rcap-,1336,Rcap2,2,2/25/11,2011,100,3/11/11,7/1/11,,4.98,2300,
Rcap-,1337,Rcap2,2,2/25/11,2011,100,3/11/11,7/1/11,,3.36,2300,
Rcap-,1338,Rcap2,2,2/25/11,2011,100,3/11/11,7/1/11,,4.28,2300,
Rcap-,1344,Rcap2,2,2/25/11,2011,100,3/11/11,7/4/11,,3.89,2300,
Rcap-,1345,Rcap2,2,2/25/11,2011,100,3/11/11,7/4/11,,3.05,2300,
Rcap-,1346,Rcap2,2,2/25/11,2011,100,3/11/11,7/4/11,,5.06,2300,
Rcap-,1347,Rcap2,2,2/25/11,2011,100,3/11/11,7/4/11,,4.6,2300,
Rcap-,1359,Rcap2,2,2/25/11,2011,100,3/11/11,7/6/11,,4.6,2300,
Rcap-,1364,Rcap2,2,2/25/11,2011,100,3/11/11,7/9/11,,5.54,2300,
Rcap-,1365,Rcap2,2,2/25/11,2011,100,3/11/11,7/9/11,,5.93,2300,
Rcap-,1377,Rcap2,2,2/25/11,2011,100,3/11/11,7/15/11,,4.31,2300,
Rcap-,1378,Rcap2,2,2/25/11,2011,100,3/11/11,7/15/11,,4.55,2300,
Rcap-,1379,Rcap2,2,2/25/11,2011,100,3/11/11,7/15/11,,4.39,2300,
Rcap-,1380,Rcap2,2,2/25/11,2011,100,3/11/11,7/15/11,,4.29,2300,
Rcap-,1381,Rcap2,2,2/25/11,2011,100,3/11/11,7/15/11,,4.37,2300,left leg broke accidently
Rcap-,1382,Rcap2,2,2/25/11,2011,100,3/11/11,7/15/11,,3.44,2300,
Rcap-,1383,Rcap2,2,2/25/11,2011,100,3/11/11,7/15/11,,3.68,2300,
Rcap-,1387,Rcap2,2,2/25/11,2011,100,3/11/11,7/20/11,,4.97,2300,
Rcap-,803,Rcap3,3,2/25/11,2011,100,3/11/11,6/2/11,,3.49,B19,nsa
Rcap-,804,Rcap3,3,2/25/11,2011,100,3/11/11,6/2/11,,3.95,2300,did not use
Rcap-,805,Rcap3,3,2/25/11,2011,100,3/11/11,6/2/11,,3.61,B20,nsa
Rcap-,806,Rcap3,3,2/25/11,2011,100,3/11/11,6/2/11,,3.36,B21,
Rcap-,807,Rcap3,3,2/25/11,2011,100,3/11/11,6/2/11,,4.45,C00,
Rcap-,808,Rcap3,3,2/25/11,2011,100,3/11/11,6/2/11,,3.75,B23,
Rcap-,809,Rcap3,3,2/25/11,2011,100,3/11/11,6/2/11,,3.28,B24,
Rcap-,810,Rcap3,3,2/25/11,2011,100,3/11/11,6/2/11,,3.76,na,dead in tank- in freezer
Rcap-,870,Rcap3,3,2/25/11,2011,100,3/11/11,6/3/11,,3.97,B62,
Rcap-,871,Rcap3,3,2/25/11,2011,100,3/11/11,6/3/11,,3.59,B63,
Rcap-,872,Rcap3,3,2/25/11,2011,100,3/11/11,6/3/11,,3.58,B64,
Rcap-,873,Rcap3,3,2/25/11,2011,100,3/11/11,6/3/11,,3.44,B65,
Rcap-,888,Rcap3,3,2/25/11,2011,100,3/11/11,6/4/11,,4.24,na,preserved in 95% EtOH
Rcap-,889,Rcap3,3,2/25/11,2011,100,3/11/11,6/4/11,,4.06,B78,small tail remaining
Rcap-,890,Rcap3,3,2/25/11,2011,100,3/11/11,6/4/11,,4.4,B79,small tail remaining
Rcap-,891,Rcap3,3,2/25/11,2011,100,3/11/11,6/4/11,,3.85,B80,small tail remaining
Rcap-,892,Rcap3,3,2/25/11,2011,100,3/11/11,6/4/11,,3.57,B81,small tail remaining
Rcap-,893,Rcap3,3,2/25/11,2011,100,3/11/11,6/4/11,,4.1,B82,small tail remaining
Rcap-,894,Rcap3,3,2/25/11,2011,100,3/11/11,6/4/11,,3.09,B83,tail nub left
Rcap-,915,Rcap3,3,2/25/11,2011,100,3/11/11,6/5/11,,5.06,C06,
Rcap-,916,Rcap3,3,2/25/11,2011,100,3/11/11,6/5/11,,4.26,B84,small tail
Rcap-,941,Rcap3,3,2/25/11,2011,100,3/11/11,6/6/11,,4.13,C26,
Rcap-,942,Rcap3,3,2/25/11,2011,100,3/11/11,6/6/11,,3.48,C28,tail nub
Rcap-,943,Rcap3,3,2/25/11,2011,100,3/11/11,6/6/11,,3.68,C29,
Rcap-,944,Rcap3,3,2/25/11,2011,100,3/11/11,6/6/11,,3.41,C30,
Rcap-,945,Rcap3,3,2/25/11,2011,100,3/11/11,6/6/11,,3.83,C31,small tail remaining
Rcap-,946,Rcap3,3,2/25/11,2011,100,3/11/11,6/6/11,,3.12,C32,tail nub
Rcap-,947,Rcap3,3,2/25/11,2011,100,3/11/11,6/6/11,,4.22,C33,
Rcap-,972,Rcap3,3,2/25/11,2011,100,3/11/11,6/7/11,,3.36,2300,small tail
Rcap-,973,Rcap3,3,2/25/11,2011,100,3/11/11,6/7/11,,4,2300,
Rcap-,1009,Rcap3,3,2/25/11,2011,100,3/11/11,6/8/11,,4.2,2300,tail nub
Rcap-,1010,Rcap3,3,2/25/11,2011,100,3/11/11,6/8/11,,3.73,2300,tail nub
Rcap-,1011,Rcap3,3,2/25/11,2011,100,3/11/11,6/8/11,,4.37,2300,tail nub
Rcap-,1012,Rcap3,3,2/25/11,2011,100,3/11/11,6/8/11,,3.99,2300,tail nub
Rcap-,1013,Rcap3,3,2/25/11,2011,100,3/11/11,6/8/11,,4.61,2300,tail nub
Rcap-,1037,Rcap3,3,2/25/11,2011,100,3/11/11,6/9/11,,3.61,2300,
Rcap-,1038,Rcap3,3,2/25/11,2011,100,3/11/11,6/9/11,,4.4,2300,
Rcap-,1067,Rcap3,3,2/25/11,2011,100,3/11/11,6/10/11,,3.49,2300,small tail
Rcap-,1108,Rcap3,3,2/25/11,2011,100,3/11/11,6/12/11,,3.87,2300,small tail
Rcap-,1109,Rcap3,3,2/25/11,2011,100,3/11/11,6/12/11,,3.14,2300,
Rcap-,1110,Rcap3,3,2/25/11,2011,100,3/11/11,6/12/11,,4.52,2300,
Rcap-,1141,Rcap3,3,2/25/11,2011,100,3/11/11,6/13/11,,3.97,2300,
Rcap-,1142,Rcap3,3,2/25/11,2011,100,3/11/11,6/13/11,,4.32,2300,
Rcap-,1161,Rcap3,3,2/25/11,2011,100,3/11/11,6/14/11,,4.15,2300,
Rcap-,1162,Rcap3,3,2/25/11,2011,100,3/11/11,6/14/11,,4.05,2300,
Rcap-,1181,Rcap3,3,2/25/11,2011,100,3/11/11,6/15/11,,3.89,2300,
Rcap-,1182,Rcap3,3,2/25/11,2011,100,3/11/11,6/15/11,,4.08,2300,
Rcap-,1251,Rcap3,3,2/25/11,2011,100,3/11/11,6/21/11,,4.16,2300,
Rcap-,1252,Rcap3,3,2/25/11,2011,100,3/11/11,6/21/11,,3.67,2300,
Rcap-,1253,Rcap3,3,2/25/11,2011,100,3/11/11,6/21/11,,5.03,2300,
Rcap-,1254,Rcap3,3,2/25/11,2011,100,3/11/11,6/21/11,,9.71,na,"bloated one we noticed 6/17, giving to SCWDS"
Rcap-,1255,Rcap3,3,2/25/11,2011,100,3/11/11,6/21/11,,3.92,2300,
Rcap-,1256,Rcap3,3,2/25/11,2011,100,3/11/11,6/21/11,,4.73,2300,
Rcap-,1257,Rcap3,3,2/25/11,2011,100,3/11/11,6/21/11,,4.87,2300,
Rcap-,1258,Rcap3,3,2/25/11,2011,100,3/11/11,6/21/11,,3.77,2300,
Rcap-,1279,Rcap3,3,2/25/11,2011,100,3/11/11,6/23/11,,5.3,2300,
Rcap-,1280,Rcap3,3,2/25/11,2011,100,3/11/11,6/23/11,,5.96,2300,
Rcap-,1293,Rcap3,3,2/25/11,2011,100,3/11/11,6/24/11,,5.28,2300,
Rcap-,1294,Rcap3,3,2/25/11,2011,100,3/11/11,6/24/11,,5.23,2300,tail nub
