Species,Species.ID,Tank.ID,Mass.g.metamorphosed,Date.metamorphosed,Date.eggs.hatched,Clutch.ID,Stocking.density,Date.stocked,Days.to.metamorphosis,Fate.comments,Year
Rcapito,447,6,3.94,6/30/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,448,6,3.89,6/30/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,529,6,3.24,7/2/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,530,6,3.38,7/2/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,531,6,3.95,7/2/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,532,6,3.55,7/2/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,533,6,2.83,7/2/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,534,6,3.44,7/2/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,685,6,3.18,7/4/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,686,6,3.91,7/4/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,698,6,3.34,7/4/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,699,6,3.58,7/4/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,700,6,3.53,7/4/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,701,6,3.61,7/4/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,702,6,3.65,7/4/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,705,6,3.68,7/4/20,2/20/20,W1a,75,3/6/20,,"pulled w/tail, weighed 7/6/20",2020
Rcapito,706,6,4.29,7/4/20,2/20/20,W1a,75,3/6/20,,"pulled w/tail, weighed 7/6/20",2020
Rcapito,755,6,3.92,7/6/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,756,6,3.04,7/6/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,757,6,4.16,7/6/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,773,6,4.19,7/8/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,858,6,3.78,7/12/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,861,6,3.48,7/12/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,874,6,4.75,7/10/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,880,6,4.94,7/12/20,2/20/20,W1a,75,3/6/20,,note on next sheet says weight was 4.34g on 7/14/20,2020
Rcapito,881,6,5.95,7/12/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,959,6,5.08,7/16/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,998,6,5.31,7/20/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,1,7,9.41,6/12/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,2,7,6.94,6/12/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,3,7,4.75,6/12/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,4,7,6.75,6/12/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,5,7,4.2,6/12/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,6,7,7.82,6/12/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,7,7,7.12,6/12/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,63,7,7.89,6/18/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,64,7,8.94,6/18/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,65,7,7.54,6/18/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,66,7,8.28,6/18/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,119,7,12.24,6/22/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,253,7,4.45,6/26/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,218,8,4.09,6/24/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,219,8,3.5,6/24/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,220,8,3.85,6/24/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,254,8,4.25,6/26/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,374,8,3.54,6/28/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,449,8,3.5,6/30/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,537,8,3.36,7/2/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,589,8,2.94,7/2/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,690,8,2.73,7/4/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,691,8,2.98,7/4/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,692,8,2.75,7/4/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,716,8,3.02,7/2/20,2/20/20,W2,75,3/6/20,,"pulled w/tail, weighed 7/4/20",2020
Rcapito,745,8,2.77,7/6/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,746,8,3.52,7/6/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,747,8,3.46,7/6/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,774,8,3.33,7/8/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,775,8,3.52,7/8/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,776,8,3.52,7/8/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,777,8,3.82,7/8/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,778,8,3.58,7/8/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,779,8,3.94,7/8/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,780,8,2.54,7/8/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,781,8,2.92,7/8/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,860,8,2.33,7/12/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,865,8,3.57,7/10/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,866,8,3.4,7/10/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,867,8,2.93,7/10/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,868,8,2.82,7/10/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,883,8,3.14,7/16/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,884,8,3.51,7/16/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,885,8,4.37,7/16/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,886,8,3.8,7/16/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,887,8,3.06,7/16/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,888,8,4.42,7/16/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,889,8,4.82,7/16/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,890,8,3.9,7/16/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,914,8,3.64,7/14/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,915,8,3.9,7/14/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,960,8,3,7/16/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,965,8,3.83,7/18/20,2/20/20,W2,75,3/6/20,,weighed on 7/20/20,2020
Rcapito,966,8,3.99,7/18/20,2/20/20,W2,75,3/6/20,,weighed on 7/20/20,2020
Rcapito,967,8,4.02,7/18/20,2/20/20,W2,75,3/6/20,,weighed on 7/20/20,2020
Rcapito,968,8,3.72,7/18/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,969,8,3.97,7/18/20,2/20/20,W2,75,3/6/20,,weighed on 7/20/20,2020
Rcapito,970,8,3.27,7/18/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,971,8,3.33,7/18/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,1009,8,2.98,7/22/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,1010,8,3.81,7/22/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,1014,8,4.64,7/24/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,1015,8,4.36,7/24/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,1016,8,3.36,7/24/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,1017,8,4.48,7/24/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,1018,8,3.86,7/24/20,2/20/20,W2,75,3/6/20,,,2020
Rcapito,221,9,5.02,6/24/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,233,9,4.69,6/24/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,267,9,3.86,6/26/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,268,9,4.13,6/26/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,269,9,4.02,6/26/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,354,9,2.96,6/28/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,355,9,3.8,6/28/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,356,9,4.35,6/28/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,357,9,2.89,6/28/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,358,9,3.85,6/28/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,410,9,2.86,6/26/20,2/20/20,W2,50,3/6/20,,"pulled 6/26/20, weighed 6/28/20",2020
Rcapito,545,9,3.6,7/2/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,546,9,3.6,7/2/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,547,9,3.53,7/2/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,550,9,3.42,7/2/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,615,9,3.34,7/4/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,616,9,2.93,7/4/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,617,9,3.1,7/4/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,626,9,3.51,7/4/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,627,9,2.54,7/4/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,628,9,3.39,7/4/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,717,9,3.15,7/2/20,2/20/20,W2,50,3/6/20,,"pulled w/tail, weighed 7/4/20",2020
Rcapito,763,9,3.73,7/6/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,764,9,3.4,7/6/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,765,9,3.62,7/6/20,2/20/20,W2,50,3/6/20,,,2020
Rcapito,766,9,3.87,7/6/20,2/20/20,W2,50,3/6/20,,,2020
