"Year","Date.metamorphosed","Mass.g.metamorphosed","Fate.comments","Clutch.ID","Date.stocked","Date.eggs.hatched","Stocking.density","Tank.ID","Days.to.metamorphosis","Surv.prop"
"2009",2009-06-14,"3.73","Andy took blood","Rcap1",2009-03-09,NA,104,"3",97,NA
"2009",2009-06-14,"3.51",NA,"Rcap1",2009-03-09,NA,104,"3",97,NA
"2009",2009-06-14,"3.99","Andy took blood","Rcap1",2009-03-09,NA,104,"3",97,NA
"2009",2009-06-14,"3.59",NA,"Rcap1",2009-03-09,NA,104,"3",97,NA
"2009",2009-06-15,"3.8",NA,"Rcap1",2009-03-09,NA,104,"3",98,NA
"2009",2009-06-15,"4.62",NA,"Rcap1",2009-03-09,NA,104,"3",98,NA
"2009",2009-06-15,"3.51",NA,"Rcap1",2009-03-09,NA,104,"3",98,NA
"2009",2009-06-16,"4.42",NA,"Rcap1",2009-03-09,NA,104,"3",99,NA
"2009",2009-06-16,"2.77",NA,"Rcap1",2009-03-09,NA,104,"3",99,NA
"2009",2009-06-16,"3.66",NA,"Rcap1",2009-03-09,NA,104,"3",99,NA
"2009",2009-06-16,"3.66",NA,"Rcap1",2009-03-09,NA,104,"3",99,NA
"2009",2009-06-16,"4.1",NA,"Rcap1",2009-03-09,NA,104,"3",99,NA
"2009",2009-06-16,"4.6",NA,"Rcap1",2009-03-09,NA,104,"3",99,NA
"2009",2009-06-16,"3.16",NA,"Rcap1",2009-03-09,NA,104,"3",99,NA
"2009",2009-06-16,"3.05",NA,"Rcap1",2009-03-09,NA,104,"3",99,NA
"2009",2009-06-16,"3.46","Andy took blood","Rcap1",2009-03-09,NA,104,"3",99,NA
"2009",2009-06-16,"3.3",NA,"Rcap1",2009-03-09,NA,104,"3",99,NA
"2009",2009-06-16,"3.67","Andy took blood","Rcap1",2009-03-09,NA,104,"3",99,NA
"2009",2009-06-16,"2.87",NA,"Rcap1",2009-03-09,NA,104,"3",99,NA
"2009",2009-06-16,"3.64",NA,"Rcap1",2009-03-09,NA,104,"3",99,NA
"2009",2009-06-16,"4.67",NA,"Rcap1",2009-03-09,NA,104,"3",99,NA
"2009",2009-06-16,"3.25","killed in action (clipping)","Rcap1",2009-03-09,NA,104,"3",99,NA
"2009",2009-06-18,"3.17","Andy took blood","Rcap1",2009-03-09,NA,104,"3",101,NA
"2009",2009-06-18,"3.85",NA,"Rcap1",2009-03-09,NA,104,"3",101,NA
"2009",2009-06-18,"3.61",NA,"Rcap1",2009-03-09,NA,104,"3",101,NA
"2009",2009-06-18,"3.74",NA,"Rcap1",2009-03-09,NA,104,"3",101,NA
"2009",2009-06-18,"4.36",NA,"Rcap1",2009-03-09,NA,104,"3",101,NA
"2009",2009-06-18,"3.93","Andy took blood","Rcap1",2009-03-09,NA,104,"3",101,NA
"2009",2009-06-19,"4.15",NA,"Rcap1",2009-03-09,NA,104,"3",102,NA
"2009",2009-06-19,"3.29",NA,"Rcap1",2009-03-09,NA,104,"3",102,NA
"2009",2009-06-19,"3.21",NA,"Rcap1",2009-03-09,NA,104,"3",102,NA
"2009",2009-06-19,"3.62",NA,"Rcap1",2009-03-09,NA,104,"3",102,NA
"2009",2009-06-19,"3.25",NA,"Rcap1",2009-03-09,NA,104,"3",102,NA
"2009",2009-06-19,"2.96",NA,"Rcap1",2009-03-09,NA,104,"3",102,NA
"2009",2009-06-19,"4.22",NA,"Rcap1",2009-03-09,NA,104,"3",102,NA
"2009",2009-06-19,"3.17",NA,"Rcap1",2009-03-09,NA,104,"3",102,NA
"2009",2009-06-20,"4.15",NA,"Rcap1",2009-03-09,NA,104,"3",103,NA
"2009",2009-06-20,"3.87",NA,"Rcap1",2009-03-09,NA,104,"3",103,NA
"2009",2009-06-20,"2.87",NA,"Rcap1",2009-03-09,NA,104,"3",103,NA
"2009",2009-06-20,"3.28",NA,"Rcap1",2009-03-09,NA,104,"3",103,NA
"2009",2009-06-20,"3.12",NA,"Rcap1",2009-03-09,NA,104,"3",103,NA
"2009",2009-06-20,"3.59",NA,"Rcap1",2009-03-09,NA,104,"3",103,NA
"2009",2009-06-20,"2.68",NA,"Rcap1",2009-03-09,NA,104,"3",103,NA
"2009",2009-06-20,"3.9",NA,"Rcap1",2009-03-09,NA,104,"3",103,NA
"2009",2009-06-20,"3.08",NA,"Rcap1",2009-03-09,NA,104,"3",103,NA
"2009",2009-06-20,"2.68","Andy took blood/found dead 24hr past blood draw","Rcap1",2009-03-09,NA,104,"3",103,NA
"2009",2009-06-20,"2.68",NA,"Rcap1",2009-03-09,NA,104,"3",103,NA
"2009",2009-06-20,"4.1",NA,"Rcap1",2009-03-09,NA,104,"3",103,NA
"2009",2009-06-20,"3","Andy took blood","Rcap1",2009-03-09,NA,104,"3",103,NA
"2009",2009-06-22,"4.41",NA,"Rcap1",2009-03-09,NA,104,"3",105,NA
"2009",2009-06-22,"3.02",NA,"Rcap1",2009-03-09,NA,104,"3",105,NA
"2009",2009-06-22,"3.97",NA,"Rcap1",2009-03-09,NA,104,"3",105,NA
"2009",2009-06-22,"3.98",NA,"Rcap1",2009-03-09,NA,104,"3",105,NA
"2009",2009-06-22,"2.85",NA,"Rcap1",2009-03-09,NA,104,"3",105,NA
"2009",2009-06-22,"3.44",NA,"Rcap1",2009-03-09,NA,104,"3",105,NA
"2009",2009-06-23,"4.22",NA,"Rcap1",2009-03-09,NA,104,"3",106,NA
"2009",2009-06-23,"2.79","Andy took blood","Rcap1",2009-03-09,NA,104,"3",106,NA
"2009",2009-06-23,"3.78","Andy took blood / dead 24 hours past blood draw","Rcap1",2009-03-09,NA,104,"3",106,NA
"2009",2009-06-26,"3.32",NA,"Rcap1",2009-03-09,NA,104,"3",109,NA
"2009",2009-06-26,"3.11","Andy took blood","Rcap1",2009-03-09,NA,104,"3",109,NA
"2009",2009-06-26,"2.75","Andy took blood","Rcap1",2009-03-09,NA,104,"3",109,NA
"2009",2009-06-26,"3.92",NA,"Rcap1",2009-03-09,NA,104,"3",109,NA
"2009",2009-06-27,"2.41",NA,"Rcap1",2009-03-09,NA,104,"3",110,NA
"2009",2009-06-28,NA,"found dead, fully morphed","Rcap1",2009-03-09,NA,104,"3",111,NA
"2009",2009-06-28,"3.37","Andy took blood","Rcap1",2009-03-09,NA,104,"3",111,NA
"2009",2009-06-28,"2.91","Andy took blood, failed","Rcap1",2009-03-09,NA,104,"3",111,NA
"2009",2009-06-28,"2.88","Andy took blood","Rcap1",2009-03-09,NA,104,"3",111,NA
"2009",2009-06-28,"2.9",NA,"Rcap1",2009-03-09,NA,104,"3",111,NA
"2009",2009-06-28,"2.68",NA,"Rcap1",2009-03-09,NA,104,"3",111,NA
"2009",2009-06-29,"2.55",NA,"Rcap1",2009-03-09,NA,104,"3",112,NA
"2009",2009-06-29,NA,"no frog in contained 7/1","Rcap1",2009-03-09,NA,104,"3",112,NA
"2009",2009-06-30,"3.45","partial tail","Rcap1",2009-03-09,NA,104,"3",113,NA
"2009",2009-07-01,"3.31","forelimbs emerged but full tail","Rcap1",2009-03-09,NA,104,"3",114,NA
"2009",2009-07-01,"2.98","forelimbs emerged but full tail","Rcap1",2009-03-09,NA,104,"3",114,NA
"2009",2009-07-01,"3.06","forelimbs emerged but full tail","Rcap1",2009-03-09,NA,104,"3",114,NA
"2009",2009-07-01,"3.3","forelimbs emerged but full tail","Rcap1",2009-03-09,NA,104,"3",114,NA
"2009",2009-07-03,"3.01",NA,"Rcap1",2009-03-09,NA,104,"3",116,NA
"2009",2009-07-06,"2.87",NA,"Rcap1",2009-03-09,NA,104,"3",119,NA
"2009",2009-07-07,"3.36",NA,"Rcap1",2009-03-09,NA,104,"3",120,NA
"2009",2009-07-08,"2.93",NA,"Rcap1",2009-03-09,NA,104,"3",121,NA
"2009",2009-07-09,"3.09",NA,"Rcap1",2009-03-09,NA,104,"3",122,NA
"2009",2009-07-09,"3.19",NA,"Rcap1",2009-03-09,NA,104,"3",122,NA
"2009",2009-07-09,"3.37",NA,"Rcap1",2009-03-09,NA,104,"3",122,NA
"2009",2009-07-15,"2.87",NA,"Rcap1",2009-03-09,NA,104,"3",128,NA
"2009",2009-07-16,"3",NA,"Rcap1",2009-03-09,NA,104,"3",129,NA
"2010",2010-06-03,"4.1",NA,"Rcap5",2010-03-18,"3/14/10",100,"5",77,NA
