"Year","Date.metamorphosed","Mass.g.metamorphosed","Fate.comments","Clutch.ID","Date.stocked","Date.eggs.hatched","Stocking.density","Tank.ID","Days.to.metamorphosis"
"2011","6/27/11","5.1","small tail remaining","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/27/11","5",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/29/11","4.08",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/29/11","5.44",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/29/11","5.01",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","7/1/11","4.3",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","7/6/11","6.24",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/2/11","4.2","dead in tank","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/2/11","4.87","dead in tank","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/4/11","4.33","preserved in 95% EtOH","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/4/11","3.74","tail remains, B84 was lost","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/4/11","4.7","severe bend in spine, tail remains","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/4/11","4.17",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/5/11","4.96","dead in tank","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/5/11","3.41","dead in tank","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/5/11","4.95","dead in tank","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/5/11","4.63","small tail","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/5/11","4.33","small tail","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/5/11","3.57","small tail","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/5/11","4.41","small tail","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/6/11","3.17","small tail remains","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/6/11","2.84",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/6/11","3.57",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/6/11","3.55",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/7/11","4.09","dead in tank, preserved in EtOH","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/7/11","3.32","dead in tank, preserved in EtOH","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/7/11","3.67",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/7/11","3.29","small tail","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/7/11","3.31","small tail","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/7/11","3.48","tail nub","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/8/11","4.64","small tail","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/8/11","3.95",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/8/11","4.11",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/9/11","3.87","tail nub","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/9/11","4.05","tail nub","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/9/11","4",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/9/11","3.09",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/9/11","3.36",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/10/11","4.27","small tail","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/11/11","3.97","small tail","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/12/11","3.6",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/11/11","3.62","tail nub","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/12/11","3.86",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/12/11","3.56",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/12/11","2.95",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/12/11","3.31",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/12/11","4.13",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/12/11","3.6",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/12/11","4.2","small tail","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/13/11","3.43",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/13/11","3.39",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/13/11","3.7",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/13/11","3.91",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/13/11","3.7",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/14/11","3.75",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/14/11","4.31",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/14/11","3.3",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/15/11","4.68","tail nub","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/15/11","4.04","tail nub","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/16/11","4.41","tail nub","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/16/11","4.83","tail nub","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/16/11","3.68",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/16/11","3.68",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/17/11","4.9","tail nub","Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/17/11","5.15",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/17/11","4.59",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/17/11","4.39",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
"2011","6/18/11","3.6",NA,"Rcap1","3/11/11","2/25/11","100","4",NA
