Species,AnimalID#,Clutch.ID,Date.eggs.hatched,Tank.ID,Stocking.density,Year,Date.stocked,Date.metamorphosed,Days.to.metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments,date.alpha.tag.was.inserted
Rcap-,2515,NA,2/25/13,9,100,2013,3/7/13,6/26/13,111,4.1,2500,,not applicable
Rcap-,2516,NA,2/25/13,9,100,2013,3/7/13,6/26/13,111,3.89,2500,,not applicable
Rcap-,2517,NA,2/25/13,9,100,2013,3/7/13,6/26/13,111,4.45,2500,,not applicable
Rcap-,2485,NA,2/25/13,10,100,2013,3/7/13,6/26/13,111,4.27,2500,,not applicable
Rcap-,2486,NA,2/25/13,10,100,2013,3/7/13,6/26/13,111,2.62,2500,,not applicable
Rcap-,2487,NA,2/25/13,10,100,2013,3/7/13,6/26/13,111,3.23,2500,,not applicable
Rcap-,2488,NA,2/25/13,10,100,2013,3/7/13,6/26/13,111,3.85,2500,,not applicable
Rcap-,2489,NA,2/25/13,10,100,2013,3/7/13,6/26/13,111,3.83,2500,,not applicable
Rcap-,2490,NA,2/25/13,10,100,2013,3/7/13,6/26/13,111,4.26,2500,,not applicable
Rcap-,2473,NA,2/25/13,2,100,2013,3/7/13,6/24/13,109,4.15,2500,,not applicable
Rcap-,2474,NA,2/25/13,2,100,2013,3/7/13,6/24/13,109,4.74,2500,,not applicable
Rcap-,2475,NA,2/25/13,3,100,2013,3/7/13,6/24/13,109,2.91,2500,,not applicable
Rcap-,2476,NA,2/25/13,3,100,2013,3/7/13,6/24/13,109,3.45,2500,,not applicable
Rcap-,2502,NA,2/25/13,3,100,2013,3/7/13,6/24/13,109,3.07,2500,,not applicable
Rcap-,2503,NA,2/25/13,4,100,2013,3/7/13,6/24/13,109,4.11,2500,,not applicable
Rcap-,2477,NA,2/25/13,7,100,2013,3/7/13,6/24/13,109,4.54,2500,,not applicable
Rcap-,2478,NA,2/25/13,8,100,2013,3/7/13,6/24/13,109,4.07,2500,,not applicable
Rcap-,2479,NA,2/25/13,8,100,2013,3/7/13,6/24/13,109,3.32,2500,,not applicable
